iter	Passed	Remaining
0	57	17212
1	58	8721
2	59	5878
3	60	4458
4	61	3618
5	62	3054
6	63	2640
7	63	2329
8	64	2094
9	65	1899
10	66	1740
11	67	1608
12	67	1495
13	68	1399
14	69	1316
15	70	1244
16	70	1178
17	71	1122
18	72	1074
19	73	1028
20	74	986
21	74	946
22	75	910
23	76	877
24	76	845
25	77	817
26	78	790
27	78	765
28	79	742
29	80	721
30	80	702
31	81	683
32	82	665
33	82	648
34	83	631
35	84	616
36	84	601
37	85	587
38	85	574
39	86	562
40	87	551
41	88	540
42	88	529
43	89	519
44	89	508
45	90	499
46	91	490
47	91	481
48	92	473
49	92	464
50	93	456
51	94	448
52	94	441
53	95	434
54	96	428
55	96	420
56	97	414
57	97	407
58	98	401
59	98	395
60	99	389
61	100	384
62	100	378
63	101	373
64	101	367
65	102	362
66	102	357
67	103	352
68	103	348
69	104	343
70	105	338
71	105	334
72	106	330
73	106	325
74	107	321
75	107	317
76	108	313
77	108	310
78	109	306
79	110	302
80	110	299
81	111	295
82	111	292
83	112	288
84	112	285
85	113	282
86	114	279
87	114	275
88	115	272
89	115	269
90	116	266
91	116	263
92	117	260
93	117	257
94	118	255
95	118	252
96	119	249
97	119	247
98	120	244
99	120	241
100	121	239
101	121	236
102	122	234
103	122	231
104	123	229
105	123	226
106	124	224
107	125	222
108	125	220
109	126	217
110	126	215
111	127	213
112	127	211
113	128	209
114	128	207
115	129	205
116	129	203
117	130	201
118	131	199
119	131	197
120	132	195
121	132	193
122	133	191
123	133	189
124	134	187
125	134	186
126	135	184
127	135	182
128	136	180
129	136	179
130	137	177
131	137	175
132	138	173
133	139	172
134	139	170
135	140	169
136	140	167
137	141	165
138	141	164
139	142	162
140	142	161
141	143	159
142	143	157
143	144	156
144	145	155
145	145	153
146	146	152
147	146	150
148	147	149
149	147	147
150	148	146
151	148	144
152	149	143
153	150	142
154	150	140
155	151	140
156	152	138
157	152	137
158	153	135
159	153	134
160	154	133
161	154	131
162	155	130
163	155	129
164	156	127
165	156	126
166	157	125
167	157	124
168	158	122
169	158	121
170	159	120
171	160	119
172	160	118
173	161	116
174	161	115
175	162	114
176	163	113
177	164	112
178	164	111
179	165	110
180	165	108
181	166	107
182	166	106
183	167	105
184	168	104
185	168	103
186	169	102
187	169	101
188	170	99
189	170	98
190	171	97
191	171	96
192	172	95
193	172	94
194	173	93
195	173	92
196	174	91
197	174	90
198	175	89
199	175	87
200	176	86
201	177	85
202	177	84
203	178	83
204	178	82
205	179	81
206	179	80
207	180	79
208	180	78
209	181	77
210	181	76
211	182	75
212	182	74
213	183	73
214	183	72
215	184	71
216	184	70
217	185	69
218	185	68
219	186	67
220	186	66
221	187	65
222	188	64
223	188	64
224	189	63
225	189	62
226	190	61
227	190	60
228	191	59
229	191	58
230	192	57
231	193	56
232	193	55
233	194	54
234	194	53
235	195	52
236	195	51
237	196	51
238	196	50
239	197	49
240	197	48
241	198	47
242	198	46
243	199	45
244	199	44
245	200	43
246	200	43
247	201	42
248	201	41
249	202	40
250	203	39
251	203	38
252	204	37
253	204	37
254	205	36
255	205	35
256	206	34
257	207	33
258	207	32
259	208	32
260	208	31
261	209	30
262	209	29
263	210	28
264	210	27
265	211	27
266	211	26
267	212	25
268	212	24
269	213	23
270	213	22
271	214	22
272	214	21
273	215	20
274	216	19
275	216	18
276	217	18
277	218	17
278	218	16
279	219	15
280	219	14
281	220	14
282	220	13
283	221	12
284	222	11
285	222	10
286	223	10
287	223	9
288	224	8
289	224	7
290	225	6
291	225	6
292	226	5
293	226	4
294	227	3
295	227	3
296	229	2
297	229	1
298	230	0
299	230	0
